[2019-11-12 15:06:48] Command-Command-commandHandler
[2019-11-12 15:06:48] Command-ServerCommand-start
[2019-11-12 15:06:48] BasePoolsServer-onStart
[2019-11-12 15:06:48] BasePoolsServer-onManagerStart
[2019-11-12 15:06:48] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:06:48] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:06:48] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:06:48] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:06:48] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:06:48] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:06:48] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:06:48] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:06:49] ConnectionServer-onWorkerStart['Worker started!']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:17] ConnectionServer-onWorkerStart['mysql']App\ConnectionPools\MysqlPool\MySQLException: connect write hlyun_center failed, ErrorCode: 111
 in /alidata/server/ConnectionPools/app/ConnectionPools/ConnectionServer.php:254
Stack trace:
#0 /alidata/server/ConnectionPools/app/ConnectionPools/ConnectionServer.php(227): App\ConnectionPools\ConnectionServer->setStartConns()
#1 /alidata/server/ConnectionPools/app/ConnectionPools/BasePools.php(31): App\ConnectionPools\ConnectionServer->App\ConnectionPools\{closure}()
#2 {main}
[2019-11-12 15:07:17] BasePoolsServer-__construst[swoole start]
[2019-11-12 15:07:23] Command-Command-commandHandler
[2019-11-12 15:07:23] Command-ServerCommand-start
[2019-11-12 15:07:23] BasePoolsServer-onStart
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['task process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] BasePoolsServer-onManagerStart
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:23] ConnectionServer-onWorkerStart['worker process']
[2019-11-12 15:07:24] ConnectionServer-onWorkerStart['Worker started!']
